school,city,status,is_private,needs_review,board_division,district,enrollment,lat,lon,CCB,CCG,GOB,GOG,SOB,TNG,VBG,BKB,BKG,CHC,DAC,SCB,WR,BA,SBG,SOG,TNB,TRB,TRG
Abingdon (A.-Avon),Abingdon,public,False,False,0.0,0.0,270.0,40.8023,-90.4009,1A,1A,1A,,1A,,1A,1A,1A,,,1A,1A,1A,1A,,,1A,1A
Addison (A. Trail),Addison,public,False,False,0.0,0.0,1840.0,41.9335,-88.0054,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,2A,2A,3A,4A,4A,3A,2A,3A,3A
Albion (Edwards County),Albion,public,False,False,0.0,0.0,215.0,38.374,-88.0636,,,1A,1A,,,1A,1A,1A,,,1A,,1A,1A,,,,
Aledo (Mercer County),Aledo,public,False,False,0.0,0.0,399.0,41.2008,-90.7416,1A,1A,1A,1A,,,2A,2A,2A,,,1A,1A,2A,2A,,,1A,1A
Algonquin (Jacobs),Algonquin,public,False,False,0.0,0.0,2048.0,42.1641,-88.3064,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Altamont,Altamont,public,False,False,0.0,0.0,228.0,39.0634,-88.7481,1A,1A,1A,1A,1A,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Alton (Marquette),Alton,private,True,False,7.0,19.0,372.0,38.9087,-90.1568,2A,2A,2A,1A,1A,1A,2A,2A,2A,,1A,2A,,2A,2A,1A,1A,2A,2A
Alton (Sr.),Alton,public,False,False,0.0,0.0,1759.0,38.9087,-90.1568,3A,3A,3A,,3A,2A,4A,4A,4A,C,2A,2A,3A,4A,4A,2A,2A,3A,3A
Amboy,Amboy,public,False,False,0.0,0.0,222.0,41.7042,-89.3472,1A,1A,1A,,,,1A,1A,1A,,,1A,1A,1A,1A,,,1A,1A
Anna (A.-Jonesboro),Anna,public,False,False,0.0,0.0,453.0,37.4668,-89.2207,1A,1A,1A,1A,1A,,2A,2A,2A,,,2A,1A,2A,2A,1A,,2A,2A
Annawan,Annawan,public,False,False,0.0,0.0,94.0,41.398,-89.9129,,,,,,,1A,1A,1A,,,1A,,,,,,,
Antioch,Antioch,public,False,False,0.0,0.0,1296.0,42.4648,-88.1178,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,1A,3A,3A
Arcola,Arcola,public,False,False,0.0,0.0,194.0,39.687,-88.3037,,,1A,1A,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Argenta (A.-Oreana),Argenta,public,False,False,0.0,0.0,258.0,39.934,-88.8052,1A,1A,1A,,1A,,1A,1A,1A,,,1A,,1A,1A,,,2A,2A
Arlington Heights (Hersey),Arlington Heights,public,False,False,0.0,0.0,2046.0,42.0881,-87.9818,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,3A,2A,3A,4A,4A,3A,2A,3A,3A
Arlington Heights (St. Viator),Arlington Heights,private,True,False,2.0,4.0,774.0,42.0881,-87.9818,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,1A,2A,2A
Armstrong,Armstrong,public,False,False,0.0,0.0,114.0,40.2175,-87.8943,1A,1A,1A,,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Arthur (A.-Lovington-Atwood-Hammond),Arthur,public,False,False,0.0,0.0,296.0,39.7077,-88.4555,1A,1A,,,1A,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Ashton (A.-Franklin Center),Ashton,public,False,False,0.0,0.0,132.0,41.8643,-89.2086,,,,,,,1A,1A,1A,,,1A,,1A,1A,,,,1A
Astoria,Astoria,public,False,False,0.0,0.0,84.0,40.2311,-90.3443,1A,1A,,,,,1A,1A,1A,,,,,1A,1A,,,1A,1A
Athens,Athens,public,False,False,0.0,0.0,289.0,39.9917,-89.6684,1A,,,,1A,,1A,1A,1A,,,1A,,1A,1A,1A,,1A,1A
Auburn,Auburn,public,False,False,0.0,0.0,317.0,39.5918,-89.744,1A,1A,1A,1A,,,2A,2A,2A,,,1A,1A,2A,2A,1A,,1A,1A
Augusta (Southeastern),Augusta,public,False,False,0.0,0.0,117.0,40.2341,-90.9554,,,1A,,,,1A,1A,,,,1A,,1A,1A,,,,
Aurora (A. Christian),Aurora,private,True,False,2.0,5.0,217.0,41.77181,-88.26668,1A,1A,1A,,,,1A,2A,1A,,,,,2A,1A,,,1A,1A
Aurora (Central Catholic),Aurora,private,True,False,2.0,5.0,425.0,41.77181,-88.26668,2A,2A,2A,1A,2A,1A,2A,2A,3A,,1A,,1A,2A,2A,1A,1A,2A,2A
Aurora (East),Aurora,public,False,False,0.0,0.0,3941.0,41.77181,-88.26668,3A,3A,3A,,3A,2A,4A,4A,4A,C,3A,2A,3A,4A,4A,3A,2A,3A,3A
Aurora (Illinois Math and Science Academy),Aurora,public_nonboundaried,False,False,0.0,0.0,872.0,41.77181,-88.26668,2A,2A,2A,1A,2A,1A,3A,3A,3A,,1A,2A,,,,2A,1A,2A,2A
Aurora (Marmion Academy),Aurora,private,True,False,2.0,5.0,820.0,41.77181,-88.26668,2A,,2A,,2A,,,3A,,,,,3A,3A,,,1A,2A,
Aurora (Metea Valley),Aurora,public,False,False,0.0,0.0,2726.0,41.77181,-88.26668,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Aurora (Rosary),Aurora,private,True,False,2.0,5.0,420.0,41.77181,-88.26668,,2A,,1A,,1A,2A,,2A,,,,,,,1A,,,2A
Aurora (Waubonsie Valley),Aurora,public,False,False,0.0,0.0,2717.0,41.77181,-88.26668,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Aurora (West Aurora),Aurora,public,False,False,0.0,0.0,3559.0,41.77181,-88.26668,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Barrington,Barrington,public,False,False,0.0,0.0,2692.0,42.157,-88.13655,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Barry (Western),Barry,public,False,False,0.0,0.0,140.0,39.7047,-91.0265,,,1A,,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Bartlett,Bartlett,public,False,False,0.0,0.0,2223.0,41.9794,-88.2063,3A,3A,3A,,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Bartonville (Limestone),Peoria,public,False,False,0.0,0.0,856.0,40.72513448275862,-89.64068275862068,2A,2A,2A,1A,2A,1A,3A,3A,3A,2A,,2A,2A,3A,3A,2A,1A,2A,2A
Batavia,Batavia,public,False,False,0.0,0.0,1632.0,41.8482,-88.3098,3A,3A,3A,2A,2A,2A,4A,4A,4A,3A,2A,2A,2A,4A,4A,2A,2A,3A,3A
Beardstown (H.S.),Beardstown,public,False,False,0.0,0.0,423.0,40.0044,-90.4229,1A,1A,1A,,1A,,2A,2A,2A,,,1A,1A,2A,2A,1A,,1A,1A
Beecher,Beecher,public,False,False,0.0,0.0,334.0,41.3444,-87.6115,1A,1A,1A,1A,1A,,2A,2A,2A,,,1A,,2A,2A,1A,,1A,1A
Beecher City,Beecher City,public,False,False,0.0,0.0,89.0,39.1835,-88.8038,,,,,,,,1A,,,,1A,,1A,1A,,,,
Belleville (Althoff Catholic),Belleville,private,True,False,7.0,19.0,332.0,38.51462,-89.99298,1A,1A,2A,1A,2A,1A,2A,2A,2A,,,2A,1A,2A,2A,1A,1A,2A,2A
Belleville (East),Belleville,public,False,False,0.0,0.0,2352.0,38.51462,-89.99298,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,,2A,3A,4A,4A,3A,2A,3A,3A
Belleville (West),Belleville,public,False,False,0.0,0.0,1990.0,38.51462,-89.99298,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Belvidere (H.S.),Belvidere,public,False,False,0.0,0.0,1113.0,42.2595,-88.8509,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,1A,2A,2A
Belvidere (North),Belvidere,public,False,False,0.0,0.0,1304.0,42.2595,-88.8509,2A,2A,2A,,2A,1A,3A,3A,3A,C,2A,2A,2A,3A,3A,2A,1A,3A,3A
Bement,Bement,public,False,False,0.0,0.0,82.0,39.9222,-88.5688,1A,1A,,,,,,,,,,,,,,,,,
Bensenville (Fenton),Bensenville,public,False,False,0.0,0.0,1347.0,41.95255,-87.94255,2A,2A,2A,,2A,1A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,1A,3A,3A
Benton,Benton,public,False,False,0.0,0.0,594.0,38.0,-88.9227,1A,1A,2A,1A,,1A,2A,2A,2A,1A,1A,2A,1A,2A,2A,,,2A,2A
Berwyn-Cicero (Morton),Berwyn,public,False,False,0.0,0.0,7552.0,41.8347,-87.7914,3A,3A,3A,,3A,2A,4A,4A,4A,C,3A,,3A,4A,4A,3A,2A,3A,3A
Bethalto (Civic Memorial),Bethalto,public,False,False,0.0,0.0,754.0,38.9074,-90.0344,2A,2A,2A,1A,2A,1A,3A,3A,3A,2A,1A,2A,2A,3A,3A,1A,1A,2A,2A
Bethany (Okaw Valley),Bethany,public,False,False,0.0,0.0,155.0,39.6348,-88.7543,,,1A,1A,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Biggsville (West Central),Biggsville,public,False,False,0.0,0.0,202.0,40.8531,-90.8561,1A,1A,1A,,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Bismarck (B.-Henning-Rossville-Alvin),Bismarck,public,False,False,0.0,0.0,354.0,40.2552,-87.6138,1A,1A,1A,,1A,,2A,2A,2A,,,1A,1A,2A,2A,,,1A,1A
Bloomington (Central Catholic),Bloomington,private,True,False,5.0,15.0,316.0,40.48185,-88.946875,1A,1A,2A,1A,1A,1A,2A,2A,2A,,,2A,,2A,2A,1A,1A,2A,1A
Bloomington (Cornerstone Christian Academy),Bloomington,private,True,False,5.0,15.0,148.0,40.48185,-88.946875,1A,,1A,,1A,1A,1A,1A,1A,,,1A,,2A,,1A,1A,1A,1A
Bloomington (H.S.),Bloomington,public,False,False,0.0,0.0,1280.0,40.48185,-88.946875,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,1A,3A,3A
Blue Island (Eisenhower),Blue Island,public,False,False,0.0,0.0,1770.0,41.6582,-87.6795,3A,3A,3A,,3A,2A,4A,4A,4A,3A,2A,,3A,4A,4A,2A,2A,3A,3A
Bluffs,Bluffs,public,False,False,0.0,0.0,51.0,39.7296,-90.5313,,,1A,,,,1A,,1A,,,,,1A,,,,,
Bluford (Webber),Bluford,public,False,False,0.0,0.0,132.0,38.3531,-88.7587,1A,1A,,,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Bolingbrook,Bolingbrook,public,False,False,0.0,0.0,3244.0,41.6883,-88.1138,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,3A,2A,3A,4A,4A,3A,2A,3A,3A
Bradley (B.-Bourbonnais),Bradley,public,False,False,0.0,0.0,1817.0,41.1454,-87.8601,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,2A,2A,3A,4A,4A,3A,2A,3A,3A
Braidwood (Reed-Custer),Braidwood,public,False,False,0.0,0.0,375.0,41.2657,-88.2231,,,1A,1A,1A,,2A,2A,2A,1A,,1A,1A,2A,2A,1A,,1A,1A
Breese (Central),Breese,public,False,False,0.0,0.0,628.0,38.6188,-89.5284,2A,2A,2A,1A,1A,,2A,2A,2A,1A,,2A,1A,2A,2A,1A,,2A,2A
Breese (Mater Dei),Breese,private,True,False,7.0,20.0,338.0,38.6188,-89.5284,1A,1A,2A,1A,1A,,3A,2A,2A,1A,,2A,,2A,2A,1A,,1A,1A
Bridgeport (Red Hill),Bridgeport,public,False,False,0.0,0.0,242.0,38.7067,-87.7657,,,2A,,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Bridgeview (Aqsa),Bridgeview,private,True,False,3.0,8.0,122.0,41.7431,-87.8066,,,,,,,1A,,,,,,,,,,,,
Bridgeview (Universal),Bridgeview,private,True,False,3.0,8.0,290.0,41.7431,-87.8066,,,,,1A,,,2A,,,,,1A,,,,,,
Brimfield,Brimfield,public,False,False,0.0,0.0,184.0,40.8407,-89.897,,,1A,1A,,,1A,1A,1A,1A,,1A,,2A,2A,,,,
Broadlands (Heritage),Broadlands,public,False,False,0.0,0.0,120.0,39.9142,-87.9948,1A,,1A,,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Brownstown,Brownstown,public,False,False,0.0,0.0,94.0,38.9891,-88.9494,,,,,,,,,1A,,,,,1A,,,,1A,1A
Brussels,Brussels,public,False,False,0.0,0.0,40.0,38.9495,-90.5887,,,1A,,,,,,,,,1A,,,,,,,
Buckley (Christ Lutheran),Buckley,private,True,False,5.0,13.0,13.0,40.6018,-88.0361,,,,,,,,,,,,1A,,,,,,1A,1A
Buffalo (Tri-City),Buffalo,public,False,False,0.0,0.0,149.0,39.8499,-89.3879,,,,,,,2A,2A,,,,1A,,2A,2A,,,,
Buffalo Grove,Buffalo Grove,public,False,False,0.0,0.0,1955.0,42.1598,-87.9644,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,3A,2A,3A,4A,4A,3A,2A,3A,3A
Bunker Hill,Bunker Hill,public,False,False,0.0,0.0,164.0,39.0408,-89.9624,,,,,,1A,1A,1A,1A,,,1A,,1A,,,1A,1A,1A
Burbank (Reavis),Burbank,public,False,False,0.0,0.0,1865.0,41.7447,-87.7699,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,2A,2A,3A,4A,4A,3A,2A,3A,3A
Burbank (St. Laurence),Burbank,private,True,False,2.0,6.0,1098.0,41.7447,-87.7699,3A,3A,2A,2A,3A,1A,4A,4A,4A,2A,2A,2A,3A,4A,4A,3A,1A,3A,2A
Burlington (Central),Burlington,public,False,False,0.0,0.0,1556.0,42.0458,-88.539,3A,3A,3A,2A,2A,,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,,3A,3A
Bushnell (B.-Prairie City),Bushnell,public,False,False,0.0,0.0,168.0,40.5539,-90.506,1A,1A,,,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Byron,Byron,public,False,False,0.0,0.0,477.0,42.1292,-89.2659,1A,1A,1A,1A,1A,,2A,2A,2A,1A,,2A,1A,2A,2A,1A,,2A,2A
Cahokia (H.S.),East Saint Louis,public,False,False,0.0,0.0,827.0,38.60604285714286,-90.12527142857142,2A,2A,,,,,3A,3A,3A,,1A,,2A,3A,3A,,,2A,2A
Cairo,Cairo,public,False,False,0.0,0.0,77.0,37.0123,-89.1811,,,,,,,1A,1A,1A,,,,,,,,,1A,1A
Calumet City (Thornton Fractional North),Calumet City,public,False,False,0.0,0.0,1285.0,41.6153,-87.5483,2A,2A,2A,,3A,1A,3A,3A,3A,,2A,2A,2A,3A,3A,3A,,3A,3A
Cambridge,Cambridge,public,False,False,0.0,0.0,118.0,41.3114,-90.1805,1A,1A,1A,1A,,,1A,,,,,,,,,,,1A,1A
Camp Point (Central),Camp Point,public,False,False,0.0,0.0,220.0,40.0293,-91.0769,,,1A,,,,1A,1A,1A,,,,1A,1A,1A,,,1A,1A
Campbell Hill (Trico),Campbell Hill,public,False,False,0.0,0.0,217.0,37.9228,-89.5799,1A,,1A,1A,,,1A,1A,1A,,,1A,1A,1A,1A,,,,
Canton,Canton,public,False,False,0.0,0.0,585.0,40.5601,-90.0242,1A,1A,2A,1A,1A,,2A,2A,2A,,1A,2A,1A,2A,2A,1A,,2A,2A
Carbondale (H.S.),Carbondale,public,False,False,0.0,0.0,978.0,37.684666666666665,-89.20363333333334,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,,2A,2A,3A,3A,2A,1A,2A,2A
Carlinville,Carlinville,public,False,False,0.0,0.0,351.0,39.2885,-89.8661,1A,1A,1A,,1A,,2A,2A,2A,,,1A,1A,2A,2A,1A,,1A,1A
Carlyle,Carlyle,public,False,False,0.0,0.0,281.0,38.6066,-89.3805,1A,1A,1A,1A,1A,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Carmi (C.-White County),Carmi,public,False,False,0.0,0.0,403.0,38.0808,-88.167,1A,1A,1A,1A,,1A,2A,2A,2A,,,,1A,2A,2A,,1A,1A,1A
Carol Stream (Glenbard North),Carol Stream,public,False,False,0.0,0.0,2043.0,41.904875000000004,-88.1372125,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Carpentersville (Dundee-Crown),Carpentersville,public,False,False,0.0,0.0,2405.0,42.123,-88.2606,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Carrier Mills (C.M.-Stonefort),Carrier Mills,public,False,False,0.0,0.0,90.0,37.6842,-88.6328,1A,1A,,,,,1A,1A,,,,1A,,1A,1A,,,,
Carrollton,Carrollton,public,False,False,0.0,0.0,168.0,39.3009,-90.4092,1A,1A,,,,,1A,1A,1A,,,,,1A,1A,,,1A,1A
Carterville,Carterville,public,False,False,0.0,0.0,652.0,37.7748,-89.0978,2A,2A,2A,1A,2A,1A,2A,2A,2A,1A,1A,2A,1A,2A,2A,2A,1A,2A,2A
Carthage (Illini West),Carthage,public,False,False,0.0,0.0,345.0,40.4129,-91.1005,1A,1A,1A,1A,,,2A,2A,2A,,1A,1A,1A,2A,2A,,,1A,1A
Cary (C.-Grove),Cary,public,False,False,0.0,0.0,1310.0,42.2196,-88.2426,2A,2A,2A,,2A,1A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,1A,3A,3A
Cary (Trinity Oaks Christian Academy),Cary,private,True,False,,,48.0,42.2196,-88.2426,,,,,,,1A,1A,,,,,,,,,,,
Casey (C.-Westfield),Casey,public,False,False,0.0,0.0,235.0,39.3017,-87.9913,1A,1A,1A,,,1A,1A,1A,1A,,,1A,,1A,1A,,1A,1A,1A
Catlin (Salt Fork),Catlin,public,False,False,0.0,0.0,243.0,40.0699,-87.7113,,,1A,,,,1A,1A,1A,1A,,1A,,1A,1A,,,1A,1A
Centralia (Christ Our Rock Lutheran),Centralia,private,True,False,7.0,20.0,107.0,38.5241,-89.1365,1A,,1A,,,,1A,1A,,,,,,1A,1A,,,1A,
Centralia (H.S.),Centralia,public,False,False,0.0,0.0,868.0,38.5241,-89.1365,2A,2A,2A,1A,2A,1A,3A,3A,3A,2A,,2A,2A,3A,3A,2A,1A,2A,2A
Cerro Gordo,Cerro Gordo,public,False,False,0.0,0.0,114.0,39.8681,-88.7256,1A,1A,1A,,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Champaign (Centennial),Champaign,public,False,False,0.0,0.0,1389.0,40.11598333333333,-88.27550000000001,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,1A,3A,3A
Champaign (Central),Champaign,public,False,False,0.0,0.0,1598.0,40.11598333333333,-88.27550000000001,3A,3A,3A,2A,2A,2A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,2A,3A,3A
Champaign (Judah Christian),Champaign,private,True,False,5.0,13.0,76.0,40.11598333333333,-88.27550000000001,,,,,1A,,1A,1A,1A,,,,,,,,,1A,1A
Champaign (St. Thomas More),Champaign,private,True,False,5.0,13.0,191.0,40.11598333333333,-88.27550000000001,1A,1A,1A,1A,1A,1A,2A,1A,2A,1A,,1A,1A,2A,1A,1A,1A,1A,1A
Charleston,Charleston,public,False,False,0.0,0.0,761.0,39.4869,-88.1761,2A,2A,2A,1A,2A,1A,3A,3A,3A,C,,2A,2A,3A,3A,1A,1A,2A,2A
Chatham (Glenwood),Chatham,public,False,False,0.0,0.0,1435.0,39.6737,-89.7112,2A,2A,2A,2A,2A,1A,3A,3A,3A,,,2A,2A,3A,3A,2A,1A,3A,3A
Chester,Chester,public,False,False,0.0,0.0,319.0,37.9188,-89.8218,1A,1A,1A,1A,,,2A,2A,2A,1A,1A,1A,,2A,2A,,,1A,1A
Chicago (ACE Amandla Charter),Chicago,public_nonboundaried,False,False,0.0,0.0,141.0,41.85452758620689,-87.67469195402299,,,,,,,,1A,,,,,,,,,,,
Chicago (Acero/Garcia),Chicago,public_nonboundaried,False,False,0.0,0.0,654.0,41.85452758620689,-87.67469195402299,2A,2A,,,2A,,3A,3A,,,,,,3A,,2A,,2A,2A
Chicago (Acero/Soto),Chicago,public_nonboundaried,False,False,0.0,0.0,552.0,41.85452758620689,-87.67469195402299,1A,1A,,,2A,,2A,2A,2A,,,,,,,2A,,,
Chicago (Agricultural Science),Chicago,public_nonboundaried,False,False,0.0,0.0,760.0,41.85452758620689,-87.67469195402299,2A,2A,2A,,2A,,3A,3A,3A,,,,2A,3A,,2A,,3A,3A
Chicago (Air Force Academy),Chicago,public_nonboundaried,False,False,0.0,0.0,130.0,41.85452758620689,-87.67469195402299,,,,,1A,,1A,1A,1A,,,,,1A,,1A,,,
Chicago (Alcott),Chicago,public,False,False,,,340.0,41.85452758620689,-87.67469195402299,,,,,,,2A,,,,,,,,,,,,
Chicago (Amundsen),Chicago,public,False,False,0.0,0.0,1420.0,41.85452758620689,-87.67469195402299,2A,2A,2A,,2A,,3A,3A,3A,2A,,,2A,3A,3A,2A,,3A,3A
Chicago (ASPIRA/Business and Finance),Chicago,public_nonboundaried,False,False,0.0,0.0,421.0,41.85452758620689,-87.67469195402299,2A,2A,,,1A,,3A,,,,,,,,,,,,
Chicago (Austin),Chicago,public,False,False,0.0,0.0,145.0,41.85452758620689,-87.67469195402299,,,,,,,,1A,,,,,,,,,,1A,
Chicago (Back of the Yards),Chicago,public_nonboundaried,False,False,0.0,0.0,1014.0,41.85452758620689,-87.67469195402299,3A,3A,,,2A,,3A,4A,,2A,1A,,2A,,,2A,,,
Chicago (Bogan),Chicago,public,False,False,0.0,0.0,599.0,41.85452758620689,-87.67469195402299,,,,,1A,,2A,2A,,,,,1A,2A,,1A,,2A,2A
Chicago (Bowen),Chicago,public,False,False,0.0,0.0,229.0,41.85452758620689,-87.67469195402299,,,,,,,,1A,,,,,1A,,,,,,
Chicago (Brooks),Chicago,public_nonboundaried,False,False,0.0,0.0,873.0,41.85452758620689,-87.67469195402299,,,,,2A,1A,3A,3A,3A,2A,,,,3A,3A,,1A,3A,3A
Chicago (Brother Rice),Chicago,private,True,False,1.0,3.0,1322.0,41.85452758620689,-87.67469195402299,3A,,3A,,3A,,,4A,,,,2A,3A,4A,,,2A,3A,
Chicago (C. Academy),Chicago,public_nonboundaried,False,False,0.0,0.0,569.0,41.85452758620689,-87.67469195402299,1A,1A,,,1A,,2A,2A,2A,,1A,,1A,2A,,1A,,2A,2A
Chicago (C. Hope Academy),Chicago,private,True,False,1.0,2.0,289.0,41.85452758620689,-87.67469195402299,1A,1A,,,1A,,1A,2A,2A,,1A,,1A,2A,2A,1A,,2A,2A
Chicago (C. Math and Science Charter),Chicago,public_nonboundaried,False,False,0.0,0.0,421.0,41.85452758620689,-87.67469195402299,,,,,1A,,2A,,,,,,,,,,,2A,2A
Chicago (C. Military Academy-Bronzeville),Chicago,public_nonboundaried,False,False,0.0,0.0,201.0,41.85452758620689,-87.67469195402299,,,,,,,2A,2A,2A,,,,1A,,,,,1A,1A
Chicago (C. Tech Academy Charter),Chicago,public_nonboundaried,False,False,0.0,0.0,313.0,41.85452758620689,-87.67469195402299,,,,,,,,2A,,,,,,,,,,2A,2A
Chicago (C. Vocational),Chicago,public_nonboundaried,False,False,0.0,0.0,578.0,41.85452758620689,-87.67469195402299,,,,,,,,3A,3A,,,,,3A,,,,2A,
Chicago (Carver Military Academy),Chicago,public_nonboundaried,False,False,0.0,0.0,415.0,41.85452758620689,-87.67469195402299,2A,1A,,,1A,,,2A,,,,,,2A,,,,2A,2A
Chicago (Catalyst/Maria),Chicago,public_nonboundaried,False,False,0.0,0.0,552.0,41.85452758620689,-87.67469195402299,,,,,1A,,2A,2A,2A,,,,,,,,,2A,2A
Chicago (Christ the King),Chicago,private,True,False,1.0,2.0,397.0,41.85452758620689,-87.67469195402299,,,,,,,2A,2A,2A,1A,,,,,,,,1A,1A
Chicago (CICS/Ellison),Chicago,public_nonboundaried,False,False,0.0,0.0,224.0,41.85452758620689,-87.67469195402299,,,,,,,1A,1A,,,,,,,,,,,
Chicago (CICS/Longwood),Chicago,public_nonboundaried,False,False,0.0,0.0,443.0,41.85452758620689,-87.67469195402299,,,,,,,3A,3A,3A,,,,,,,,,2A,2A
Chicago (CICS/Northtown),Chicago,public_nonboundaried,False,False,0.0,0.0,872.0,41.85452758620689,-87.67469195402299,,,,,2A,,3A,3A,3A,,,,,3A,3A,2A,,3A,3A
Chicago (Clark),Chicago,public_nonboundaried,False,False,0.0,0.0,442.0,41.85452758620689,-87.67469195402299,,,,,,,,2A,2A,,,,1A,3A,,,,2A,2A
Chicago (Clemente),Chicago,public,False,False,0.0,0.0,671.0,41.85452758620689,-87.67469195402299,,,,,1A,,2A,2A,,,,,1A,2A,,,,,
Chicago (Collins Academy),Chicago,public_nonboundaried,False,False,0.0,0.0,196.0,41.85452758620689,-87.67469195402299,,,,,,,1A,1A,1A,,,,,,,,,1A,1A
Chicago (Corliss),Chicago,public,False,False,0.0,0.0,365.0,41.85452758620689,-87.67469195402299,,,,,,,2A,2A,2A,,,,1A,,,,,1A,1A
Chicago (Crane Medical Prep),Chicago,public_nonboundaried,False,False,0.0,0.0,282.0,41.85452758620689,-87.67469195402299,,,,,,,1A,2A,2A,,,,3A,,,,,2A,2A
Chicago (Cristo Rey Jesuit),Chicago,private,True,False,1.0,2.0,527.0,41.85452758620689,-87.67469195402299,1A,1A,,,2A,,3A,2A,2A,1A,,,,2A,2A,2A,,,
Chicago (Curie),Chicago,public_nonboundaried,False,False,0.0,0.0,2873.0,41.85452758620689,-87.67469195402299,,,,,3A,,4A,4A,4A,3A,,,3A,,,,,3A,3A
Chicago (Daystar Academy),Chicago,private,True,False,1.0,2.0,45.0,41.85452758620689,-87.67469195402299,,,,,1A,,,1A,,,,,,,,,,,
Chicago (De La Salle),Chicago,private,True,False,1.0,2.0,740.0,41.85452758620689,-87.67469195402299,2A,2A,2A,1A,2A,1A,3A,3A,3A,,,,2A,3A,3A,2A,1A,2A,2A
Chicago (DePaul College Prep),Chicago,private,True,False,1.0,1.0,1342.0,41.85452758620689,-87.67469195402299,3A,3A,2A,2A,3A,2A,4A,4A,4A,2A,,2A,2A,4A,4A,3A,2A,3A,3A
Chicago (Disney II),Chicago,public_nonboundaried,False,False,0.0,0.0,571.0,41.85452758620689,-87.67469195402299,,,,,2A,,3A,3A,3A,,,,,3A,3A,2A,,2A,2A
Chicago (Dunbar),Chicago,public_nonboundaried,False,False,0.0,0.0,331.0,41.85452758620689,-87.67469195402299,,,,,,,,2A,,,,,,,,,,,
Chicago (DuSable),Chicago,public,False,False,0.0,0.0,192.0,41.85452758620689,-87.67469195402299,,,,,,,,1A,,,1A,,1A,,,,,1A,1A
Chicago (Dyett),Chicago,public,False,False,0.0,0.0,508.0,41.85452758620689,-87.67469195402299,,,,,,,2A,2A,2A,,1A,,1A,,,,,2A,2A
Chicago (Englewood STEM),Chicago,public,False,False,0.0,0.0,625.0,41.85452758620689,-87.67469195402299,,,,,,,2A,2A,2A,,,,1A,,,1A,,2A,2A
Chicago (EPIC Academy Charter),Chicago,public_nonboundaried,False,False,0.0,0.0,243.0,41.85452758620689,-87.67469195402299,,,,,,,,2A,,,,,,,,,,,
